"subjects","group_assignment","age","declared_partisanship","week","memes_seen","preexperiment_polarization","experiment_polarization","postexperiment_polarization"
3,0,23,1,6,0.846290932153352,NA,0.153404570650309,NA
3,0,23,1,7,0.676201981958002,NA,0.396169829368591,NA
3,0,23,1,8,0.613213840755634,NA,0.0055286256596446,NA
3,0,23,1,9,0.720625263871625,NA,0.108844113815576,NA
3,0,23,1,10,0.805613488075323,NA,0.191666979622096,NA
3,0,23,1,11,0.708062329795212,NA,0.111271154042333,NA
3,0,23,1,12,0.79600999574177,NA,0.024866421893239,NA
3,0,23,1,13,0.59247005044017,NA,0.208502573147416,NA
3,0,23,1,14,0.825719567830674,NA,0.319246200472116,NA
3,0,23,1,15,0.582779815769754,NA,0.384867452736944,NA
3,0,23,1,16,NA,NA,NA,0.270781504735351
3,0,23,1,17,NA,NA,NA,0.157130279764533
3,0,23,1,18,NA,NA,NA,0.316360017191619
3,0,23,1,19,NA,NA,NA,0.322409194894135
4,0,19,-1,1,NA,0.129950579721481,NA,NA
4,0,19,-1,2,NA,0.336056410241872,NA,NA
4,0,19,-1,3,NA,0.0181083400733769,NA,NA
4,0,19,-1,4,0.827803159947507,NA,0.260814362857491,NA
4,0,19,-1,5,0.714904392953031,NA,0.395508110243827,NA
4,0,19,-1,6,0.60662270965986,NA,0.336739649716765,NA
4,0,19,-1,7,0.844347034581006,NA,0.324353218637407,NA
4,0,19,-1,8,0.997680282453075,NA,0.0198863834142685,NA
4,0,19,-1,9,0.885008361889049,NA,0.168062852695584,NA
4,0,19,-1,10,0.984079406713136,NA,0.135386835318059,NA
4,0,19,-1,11,0.611041186377406,NA,0.386667769774795,NA
4,0,19,-1,12,0.553367268643342,NA,0.0485251576639712,NA
4,0,19,-1,13,0.823290042462759,NA,0.068547367118299,NA
4,0,19,-1,14,0.553186238277704,NA,0.18927761213854,NA
4,0,19,-1,15,0.565835386398248,NA,0.323574790824205,NA
4,0,19,-1,16,NA,NA,NA,0.28917015036568
4,0,19,-1,17,NA,NA,NA,0.365789137966931
4,0,19,-1,18,NA,NA,NA,0.369370275549591
4,0,19,-1,19,NA,NA,NA,0.101188121270388
5,0,19,0,1,NA,0.305083879083395,NA,NA
5,0,19,0,2,NA,0.392504227161407,NA,NA
5,0,19,0,3,NA,0.323173341248184,NA,NA
5,0,19,0,4,0.859068636898883,NA,0.308033844549209,NA
5,0,19,0,5,0.930628977832384,NA,0.213318626303226,NA
5,0,19,0,6,0.900356651167385,NA,0.153343573212624,NA
5,0,19,0,7,0.976105585694313,NA,0.251842527836561,NA
5,0,19,0,8,0.826400013524108,NA,0.375857837777585,NA
5,0,19,0,9,0.671455738251098,NA,0.0996406590566039,NA
5,0,19,0,10,0.890698976814747,NA,0.236888624727726,NA
5,0,19,0,11,0.655050482135266,NA,0.16260077599436,NA
5,0,19,0,12,0.625163979828358,NA,0.375256660580635,NA
5,0,19,0,13,0.549238645937294,NA,0.055960114300251,NA
5,0,19,0,14,0.680958025972359,NA,0.033055614400655,NA
5,0,19,0,15,0.985506012220867,NA,0.251811731141061,NA
5,0,19,0,16,NA,NA,NA,0.340325307007879
5,0,19,0,17,NA,NA,NA,0.300834207516164
5,0,19,0,18,NA,NA,NA,0.241266457270831
5,0,19,0,19,NA,NA,NA,0.326522632408887
6,0,20,1,1,NA,0.0124814457260072,NA,NA
6,0,20,1,2,NA,0.232449646852911,NA,NA
6,0,20,1,3,NA,0.375031216535717,NA,NA
6,0,20,1,4,0.690951013239101,NA,0.30021379198879,NA
6,0,20,1,5,0.957660316373222,NA,0.303075038827956,NA
6,0,20,1,6,0.934698234195821,NA,0.0142269836738706,NA
6,0,20,1,7,0.765491388388909,NA,0.386464755050838,NA
6,0,20,1,8,0.68611321458593,NA,0.00252874838188291,NA
6,0,20,1,9,0.61122428777162,NA,0.143988035991788,NA
6,0,20,1,10,0.575244468753226,NA,0.346104049496353,NA
6,0,20,1,11,0.773152160807513,NA,0.253162429761142,NA
6,0,20,1,12,0.572935499250889,NA,0.353934598527849,NA
6,0,20,1,13,0.740179836400785,NA,0.387909478507936,NA
6,0,20,1,14,0.966872494784184,NA,0.376840265654028,NA
6,0,20,1,15,0.640855475328863,NA,0.313851218763739,NA
6,0,20,1,16,NA,NA,NA,0.0878436299040914
6,0,20,1,17,NA,NA,NA,0.376312459260225
6,0,20,1,18,NA,NA,NA,0.166989572439343
6,0,20,1,19,NA,NA,NA,0.287574926856905
7,0,24,-1,1,NA,0.306351979915053,NA,NA
7,0,24,-1,2,NA,0.0558498662896454,NA,NA
7,0,24,-1,3,NA,0.044550983980298,NA,NA
7,0,24,-1,4,0.962137402617373,NA,0.186453274637461,NA
7,0,24,-1,5,0.513655201066285,NA,0.370307580102235,NA
7,0,24,-1,6,0.50502711313311,NA,0.108157841674984,NA
7,0,24,-1,7,0.657096420763992,NA,0.0414712311699987,NA
7,0,24,-1,8,0.955237867310643,NA,0.313760170992464,NA
7,0,24,-1,9,0.754285805043764,NA,0.0176729065366089,NA
7,0,24,-1,10,0.538937527919188,NA,0.370745029766113,NA
7,0,24,-1,11,0.572244097944349,NA,0.0957566949538887,NA
7,0,24,-1,12,0.713733457727358,NA,0.0282804072834551,NA
7,0,24,-1,13,0.729300586739555,NA,0.285097486991435,NA
7,0,24,-1,14,0.695280033163726,NA,0.0947170587256551,NA
7,0,24,-1,15,0.781824743258767,NA,0.0368507116101682,NA
7,0,24,-1,16,NA,NA,NA,0.170611138269305
7,0,24,-1,17,NA,NA,NA,0.1813945107162
7,0,24,-1,18,NA,NA,NA,0.0480414011515677
7,0,24,-1,19,NA,NA,NA,0.295305584464222
8,0,22,1,1,NA,0.251171239279211,NA,NA
8,0,22,1,2,NA,0.331242229882628,NA,NA
8,0,22,1,3,NA,0.0300707149319351,NA,NA
8,0,22,1,4,0.628468040144071,NA,0.0154586390592158,NA
8,0,22,1,5,0.837989219580777,NA,0.381663361936808,NA
8,0,22,1,6,0.929104428738356,NA,0.221866335440427,NA
8,0,22,1,7,0.744221770321019,NA,0.0446699259802699,NA
8,0,22,1,8,0.980876192334108,NA,0.128637968562543,NA
8,0,22,1,9,0.928875469253398,NA,0.0242866055108607,NA
8,0,22,1,10,0.650142167229205,NA,0.273865943960845,NA
8,0,22,1,11,0.593451056047343,NA,0.0730658947490156,NA
8,0,22,1,12,0.970163036254235,NA,0.272027560137212,NA
8,0,22,1,13,0.522176322643645,NA,0.358279921766371,NA
8,0,22,1,14,0.7588959580753,NA,0.0701159857213497,NA
8,0,22,1,15,0.790692164329812,NA,0.186483205575496,NA
8,0,22,1,16,NA,NA,NA,0.371584698092192
8,0,22,1,17,NA,NA,NA,0.310282282996923
8,0,22,1,18,NA,NA,NA,0.148755637928843
8,0,22,1,19,NA,NA,NA,0.215623545926064
9,0,19,0,1,NA,0.0708241644315422,NA,NA
9,0,19,0,2,NA,0.15775610730052,NA,NA
9,0,19,0,3,NA,0.336798228975385,NA,NA
9,0,19,0,4,0.563584622112103,NA,0.359044387098402,NA
9,0,19,0,5,0.681286465725861,NA,0.0498933991417289,NA
9,0,19,0,6,0.69699514855165,NA,0.253607358969748,NA
9,0,19,0,7,0.969524993328378,NA,0.013310216460377,NA
9,0,19,0,8,0.95210188254714,NA,0.399210322648287,NA
9,0,19,0,9,0.907603407045826,NA,0.0401399123482406,NA
9,0,19,0,10,0.671826033038087,NA,0.379224779363722,NA
9,0,19,0,11,0.680938866571523,NA,0.0174972454085946,NA
9,0,19,0,12,0.55605190130882,NA,0.106558893807232,NA
9,0,19,0,13,0.942814457812347,NA,0.183356079831719,NA
9,0,19,0,14,0.563068390940316,NA,0.0752483213320375,NA
9,0,19,0,15,0.553193480125628,NA,0.0453914392739534,NA
9,0,19,0,16,NA,NA,NA,0.174751352518797
9,0,19,0,17,NA,NA,NA,0.398894291743636
9,0,19,0,18,NA,NA,NA,0.30845464700833
9,0,19,0,19,NA,NA,NA,0.0395648677833378
10,0,25,-1,1,NA,0.280001804418862,NA,NA
10,0,25,-1,2,NA,0.0108879365026951,NA,NA
10,0,25,-1,3,NA,0.390151526406407,NA,NA
10,0,25,-1,4,0.915992808993906,NA,0.177848227135837,NA
10,0,25,-1,5,0.792001260444522,NA,0.286825206503272,NA
10,0,25,-1,6,0.971807467984036,NA,0.365508742351085,NA
10,0,25,-1,7,0.639463694649749,NA,0.163711167406291,NA
10,0,25,-1,8,0.593384699546732,NA,0.191302830819041,NA
10,0,25,-1,9,0.525298891589046,NA,0.156214179471135,NA
10,0,25,-1,10,0.945821517379954,NA,0.387544675078243,NA
10,0,25,-1,11,0.78326061158441,NA,0.334054831974208,NA
10,0,25,-1,12,0.778357457253151,NA,0.122896062210202,NA
10,0,25,-1,13,0.899284774670377,NA,0.0759208042174578,NA
10,0,25,-1,14,0.762880950351246,NA,0.055831019487232,NA
10,0,25,-1,15,0.825424752663821,NA,0.350328068900853,NA
10,0,25,-1,16,NA,NA,NA,0.245766186155379
10,0,25,-1,17,NA,NA,NA,0.122247754968703
10,0,25,-1,18,NA,NA,NA,0.0339115005917847
10,0,25,-1,19,NA,NA,NA,0.106054145935923
11,0,19,-1,1,NA,0.39473023256287,NA,NA
11,0,19,-1,2,NA,0.157173437718302,NA,NA
11,0,19,-1,3,NA,0.0915497843176127,NA,NA
11,0,19,-1,4,0.930861894972622,NA,0.386302369181067,NA
11,0,19,-1,5,0.852858244208619,NA,0.383091799914837,NA
11,0,19,-1,6,0.693091470631771,NA,0.390689986851066,NA
11,0,19,-1,7,0.605217425618321,NA,0.204062626510859,NA
11,0,19,-1,8,0.857379951281473,NA,0.176510610431433,NA
11,0,19,-1,9,0.961991718388163,NA,0.167648940812796,NA
11,0,19,-1,10,0.6998279329855,NA,0.344382342882454,NA
11,0,19,-1,11,0.518642627052031,NA,0.160638552904129,NA
11,0,19,-1,12,0.66400633379817,NA,0.320896629989147,NA
11,0,19,-1,13,0.9537325281417,NA,0.219447275530547,NA
11,0,19,-1,14,0.554763370892033,NA,0.381425476912409,NA
11,0,19,-1,15,0.647898852825165,NA,0.225347396824509,NA
11,0,19,-1,16,NA,NA,NA,0.251496390067041
11,0,19,-1,17,NA,NA,NA,0.142505101580173
11,0,19,-1,18,NA,NA,NA,0.0152378413826227
11,0,19,-1,19,NA,NA,NA,0.208615334797651
12,0,24,-1,1,NA,0.290047928877175,NA,NA
12,0,24,-1,2,NA,0.286300180479884,NA,NA
12,0,24,-1,3,NA,0.168176009692252,NA,NA
12,0,24,-1,4,0.727029054076411,NA,0.215750934556127,NA
12,0,24,-1,5,0.713037822162732,NA,0.392693102918565,NA
12,0,24,-1,6,0.75307230418548,NA,0.117491190787405,NA
12,0,24,-1,7,0.858575815567747,NA,0.0441165916621685,NA
12,0,24,-1,8,0.667758700554259,NA,0.387769091222435,NA
12,0,24,-1,9,0.809422404388897,NA,0.219721695408225,NA
12,0,24,-1,10,0.743681603460573,NA,0.373382370732725,NA
12,0,24,-1,11,0.972139582037926,NA,0.386524946801364,NA
12,0,24,-1,12,0.671500011114404,NA,0.0726956266909838,NA
12,0,24,-1,13,0.904909917269833,NA,0.0712573617696762,NA
12,0,24,-1,14,0.718947824207135,NA,0.176597905345261,NA
12,0,24,-1,15,0.77380386844743,NA,0.00823957286775112,NA
12,0,24,-1,16,NA,NA,NA,0.278224091976881
12,0,24,-1,17,NA,NA,NA,0.00889738295227289
12,0,24,-1,18,NA,NA,NA,0.361834487598389
12,0,24,-1,19,NA,NA,NA,0.18789989342913
13,0,21,0,1,NA,0.0207739684730768,NA,NA
13,0,21,0,2,NA,0.389543522614986,NA,NA
13,0,21,0,3,NA,0.192860252130777,NA,NA
13,0,21,0,4,0.978695386787876,NA,0.34758072309196,NA
13,0,21,0,5,0.736730787786655,NA,0.317064370308071,NA
13,0,21,0,6,0.792550625046715,NA,0.349462020024657,NA
13,0,21,0,7,0.753754232428037,NA,0.25936779845506,NA
13,0,21,0,8,0.867663966026157,NA,0.349559912737459,NA
13,0,21,0,9,0.602951794164255,NA,0.132522212527692,NA
13,0,21,0,10,0.50083846936468,NA,0.0496239717118442,NA
13,0,21,0,11,0.552622346789576,NA,0.219862235989422,NA
13,0,21,0,12,0.737383465631865,NA,0.266346402838826,NA
13,0,21,0,13,0.690404327819124,NA,0.195947646535933,NA
13,0,21,0,14,0.504471877822652,NA,0.0495393629185855,NA
13,0,21,0,15,0.679280029959045,NA,0.0873430096544325,NA
13,0,21,0,16,NA,NA,NA,0.273068557865918
13,0,21,0,17,NA,NA,NA,0.25541834840551
13,0,21,0,18,NA,NA,NA,0.145100638736039
13,0,21,0,19,NA,NA,NA,0.0845048089511693
14,0,23,0,1,NA,0.1698267608881,NA,NA
14,0,23,0,2,NA,0.131790646910667,NA,NA
14,0,23,0,3,NA,0.0286357619799674,NA,NA
14,0,23,0,4,0.741267001139931,NA,0.306063811574131,NA
14,0,23,0,5,0.555559466243722,NA,0.219841125793755,NA
14,0,23,0,6,0.993135313503444,NA,0.254486862104386,NA
14,0,23,0,7,0.523142990772612,NA,0.149280177429318,NA
14,0,23,0,8,0.789846455561928,NA,0.157557334750891,NA
14,0,23,0,9,0.649789020419121,NA,0.10791621254757,NA
14,0,23,0,10,0.773943583481014,NA,0.231061132065952,NA
14,0,23,0,11,0.915527866804041,NA,0.313944009877741,NA
14,0,23,0,12,0.748906938009895,NA,0.273316660989076,NA
14,0,23,0,13,0.831964639481157,NA,0.246099474467337,NA
14,0,23,0,14,0.900578559725545,NA,0.227699876669794,NA
14,0,23,0,15,0.684153125272132,NA,0.339403468370438,NA
14,0,23,0,16,NA,NA,NA,0.228394986037165
14,0,23,0,17,NA,NA,NA,0.123455469496548
14,0,23,0,18,NA,NA,NA,0.0661094407550991
14,0,23,0,19,NA,NA,NA,0.389558036159724
15,0,20,0,1,NA,0.126031120866537,NA,NA
15,0,20,0,2,NA,0.00797640634700656,NA,NA
15,0,20,0,3,NA,0.358748816605657,NA,NA
15,0,20,0,4,0.660159702878445,NA,0.383860882092267,NA
15,0,20,0,5,0.711945233866572,NA,0.375230166874826,NA
15,0,20,0,6,0.758611907018349,NA,0.187381229083985,NA
15,0,20,0,7,0.686111288727261,NA,0.307578143011779,NA
15,0,20,0,8,0.974464228842407,NA,0.359200130682439,NA
15,0,20,0,9,0.836862194817513,NA,0.182850796449929,NA
15,0,20,0,10,0.564018249744549,NA,0.20038882298395,NA
15,0,20,0,11,0.878335029352456,NA,0.321879598964006,NA
15,0,20,0,12,0.658989125513472,NA,0.198921722266823,NA
15,0,20,0,13,0.703853667480871,NA,0.357359118852764,NA
15,0,20,0,14,0.572402730118483,NA,0.0474403785541654,NA
15,0,20,0,15,0.78656081086956,NA,0.260962665919215,NA
15,0,20,0,16,NA,NA,NA,0.142192365508527
15,0,20,0,17,NA,NA,NA,0.0558844177983701
15,0,20,0,18,NA,NA,NA,0.382730309665203
15,0,20,0,19,NA,NA,NA,0.281000052206218
16,0,23,-1,1,NA,0.0762839478440583,NA,NA
16,0,23,-1,2,NA,0.134486839920282,NA,NA
16,0,23,-1,3,NA,0.184980955068022,NA,NA
16,0,23,-1,4,0.688335385988466,NA,0.0450050657615066,NA
16,0,23,-1,5,0.609815153875388,NA,0.351409499254078,NA
16,0,23,-1,6,0.988229189999402,NA,0.240203210245818,NA
16,0,23,-1,7,0.851346760522574,NA,0.257214898895472,NA
16,0,23,-1,8,0.533824818674475,NA,0.320568583067507,NA
16,0,23,-1,9,0.815804187790491,NA,0.143108674511313,NA
16,0,23,-1,10,0.673348419717513,NA,0.284461408667266,NA
16,0,23,-1,11,0.633813041611575,NA,0.0532974751666188,NA
16,0,23,-1,12,0.778132421895862,NA,0.00835235267877579,NA
16,0,23,-1,13,0.96712066209875,NA,0.0226125574670732,NA
16,0,23,-1,14,0.72954821609892,NA,0.202956290077418,NA
16,0,23,-1,15,0.782900639926083,NA,0.00668444894254208,NA
16,0,23,-1,16,NA,NA,NA,0.0884876439347863
16,0,23,-1,17,NA,NA,NA,0.207703718915582
16,0,23,-1,18,NA,NA,NA,0.160068720020354
16,0,23,-1,19,NA,NA,NA,0.141402415372431
17,0,23,0,1,NA,0.171852491796017,NA,NA
17,0,23,0,2,NA,0.0599127166904509,NA,NA
17,0,23,0,3,NA,0.322418993897736,NA,NA
17,0,23,0,4,0.621098612667993,NA,0.0116278846748173,NA
17,0,23,0,5,0.824156932299957,NA,0.123737572319806,NA
17,0,23,0,6,0.924846189212985,NA,0.127695030998439,NA
17,0,23,0,7,0.54568837932311,NA,0.37826130753383,NA
17,0,23,0,8,0.639675138401799,NA,0.139610011316836,NA
17,0,23,0,9,0.540451383916661,NA,0.0192649831995368,NA
17,0,23,0,10,0.843413592432626,NA,0.0463640437461436,NA
17,0,23,0,11,0.999344334937632,NA,0.329604567028582,NA
17,0,23,0,12,0.502249577897601,NA,0.0691426272504032,NA
17,0,23,0,13,0.857716149301268,NA,0.388388085644692,NA
17,0,23,0,14,0.777081037056632,NA,0.0796450659632683,NA
17,0,23,0,15,0.903527995571494,NA,0.311264933273196,NA
17,0,23,0,16,NA,NA,NA,0.14170030457899
17,0,23,0,17,NA,NA,NA,0.18361070137471
17,0,23,0,18,NA,NA,NA,0.0677520954050124
17,0,23,0,19,NA,NA,NA,0.230320546869189
18,0,25,1,1,NA,0.315969453658909,NA,NA
18,0,25,1,2,NA,0.117500157374889,NA,NA
18,0,25,1,3,NA,0.0832998377270997,NA,NA
18,0,25,1,4,0.518766719149426,NA,0.34052358372137,NA
18,0,25,1,5,0.867446779739112,NA,0.153629736416042,NA
18,0,25,1,6,0.935189275769517,NA,0.350675345025957,NA
18,0,25,1,7,0.836395399994217,NA,0.289058245904744,NA
18,0,25,1,8,0.859924031887203,NA,0.0262869742698967,NA
18,0,25,1,9,0.892654756084085,NA,0.379103276785463,NA
18,0,25,1,10,0.581507791066542,NA,0.197562023811042,NA
18,0,25,1,11,0.632316275150515,NA,0.234953361749649,NA
18,0,25,1,12,0.964976885239594,NA,0.18677916135639,NA
18,0,25,1,13,0.751736228587106,NA,0.256855184957385,NA
18,0,25,1,14,0.735749265644699,NA,0.198048257734627,NA
18,0,25,1,15,0.743940883665346,NA,0.0728063220158219,NA
18,0,25,1,16,NA,NA,NA,0.395419665891677
18,0,25,1,17,NA,NA,NA,0.0443051471374929
18,0,25,1,18,NA,NA,NA,0.107958054263145
18,0,25,1,19,NA,NA,NA,0.0132766383700073
19,0,20,0,1,NA,0.00308323940262198,NA,NA
19,0,20,0,2,NA,0.259532476123422,NA,NA
19,0,20,0,3,NA,0.0593535545282066,NA,NA
19,0,20,0,4,0.629512951592915,NA,0.189110319409519,NA
19,0,20,0,5,0.754263572394848,NA,0.379586921352893,NA
19,0,20,0,6,0.743816734524444,NA,0.344467061199248,NA
19,0,20,0,7,0.966912251431495,NA,0.231502089556307,NA
19,0,20,0,8,0.548078577732667,NA,0.264229314215481,NA
19,0,20,0,9,0.974820515955798,NA,0.217737891804427,NA
19,0,20,0,10,0.670814571436495,NA,0.305674131307751,NA
19,0,20,0,11,0.515557942679152,NA,0.165278344508261,NA
19,0,20,0,12,0.761962829856202,NA,0.205529479309916,NA
19,0,20,0,13,0.675049436278641,NA,0.251693968567997,NA
19,0,20,0,14,0.715739275678061,NA,0.380174418259412,NA
19,0,20,0,15,0.802119651576504,NA,0.325492784101516,NA
19,0,20,0,16,NA,NA,NA,0.191733445599675
19,0,20,0,17,NA,NA,NA,0.108452311810106
19,0,20,0,18,NA,NA,NA,0.311439867783338
19,0,20,0,19,NA,NA,NA,0.397178227175027
20,0,23,1,1,NA,0.175961684063077,NA,NA
20,0,23,1,2,NA,0.239193365257233,NA,NA
20,0,23,1,3,NA,0.0919904191046953,NA,NA
20,0,23,1,4,0.667266633012332,NA,0.144956819619983,NA
20,0,23,1,5,0.561873502330855,NA,0.192196583561599,NA
20,0,23,1,6,0.65095682896208,NA,0.13258643746376,NA
20,0,23,1,7,0.992163898539729,NA,0.107252122834325,NA
20,0,23,1,8,0.655847614281811,NA,0.247485977876931,NA
20,0,23,1,9,0.814751515747048,NA,0.212362997792661,NA
20,0,23,1,10,0.6668232223019,NA,0.268662395887077,NA
20,0,23,1,11,0.712076819268987,NA,0.0965481614693999,NA
20,0,23,1,12,0.688868851051666,NA,0.296139829140157,NA
20,0,23,1,13,0.790459703886881,NA,0.0652526185847819,NA
20,0,23,1,14,0.721923520439304,NA,0.314780431799591,NA
20,0,23,1,15,0.820716592017561,NA,0.3918891008012,NA
20,0,23,1,16,NA,NA,NA,0.134358180034906
20,0,23,1,17,NA,NA,NA,0.395209064614028
20,0,23,1,18,NA,NA,NA,0.332886331994087
20,0,23,1,19,NA,NA,NA,0.390224000811577
21,0,21,0,1,NA,0.340231543593109,NA,NA
21,0,21,0,2,NA,0.133376755937934,NA,NA
21,0,21,0,3,NA,0.0948787693865597,NA,NA
21,0,21,0,4,0.949637868790887,NA,0.209969450347126,NA
21,0,21,0,5,0.993242032476701,NA,0.230084361881018,NA
21,0,21,0,6,0.959210124565288,NA,0.0809192578308284,NA
21,0,21,0,7,0.681536949588917,NA,0.393651012703776,NA
21,0,21,0,8,0.927839472424239,NA,0.288915221206844,NA
21,0,21,0,9,0.933095577755012,NA,0.258616335783154,NA
21,0,21,0,10,0.952428376651369,NA,0.0966436019167304,NA
21,0,21,0,11,0.528048790292814,NA,0.0909202856943011,NA
21,0,21,0,12,0.705337626975961,NA,0.207959381956607,NA
21,0,21,0,13,0.72072117915377,NA,0.0398722860962153,NA
21,0,21,0,14,0.986202847096138,NA,0.0447780780494213,NA
21,0,21,0,15,0.641103671863675,NA,0.0815425606444478,NA
21,0,21,0,16,NA,NA,NA,0.088777316827327
21,0,21,0,17,NA,NA,NA,0.013506918400526
21,0,21,0,18,NA,NA,NA,0.371683348529041
21,0,21,0,19,NA,NA,NA,0.26997945215553
22,0,21,1,1,NA,0.350763472076505,NA,NA
22,0,21,1,2,NA,0.258844300825149,NA,NA
22,0,21,1,3,NA,0.396917848661542,NA,NA
22,0,21,1,4,0.748152222135104,NA,0.0656797243282199,NA
22,0,21,1,5,0.808421627734788,NA,0.371533212438226,NA
22,0,21,1,6,0.583127452991903,NA,0.19984873989597,NA
22,0,21,1,7,0.729712055181153,NA,0.206835174560547,NA
22,0,21,1,8,0.502552801393904,NA,0.226057418249548,NA
22,0,21,1,9,0.578719753073528,NA,0.115171732753515,NA
22,0,21,1,10,0.52082325599622,NA,0.136259502824396,NA
22,0,21,1,11,0.853085246635601,NA,0.289129370823503,NA
22,0,21,1,12,0.947968780528754,NA,0.280686705373228,NA
22,0,21,1,13,0.625039024744183,NA,0.282078293152153,NA
22,0,21,1,14,0.896319606690668,NA,0.210514437034726,NA
22,0,21,1,15,0.926485223812051,NA,0.080882262904197,NA
22,0,21,1,16,NA,NA,NA,0.219251341465861
22,0,21,1,17,NA,NA,NA,0.291728687752038
22,0,21,1,18,NA,NA,NA,0.186358672194183
22,0,21,1,19,NA,NA,NA,0.105893481243402
23,0,23,-1,1,NA,0.231728528439999,NA,NA
23,0,23,-1,2,NA,0.133799961768091,NA,NA
23,0,23,-1,3,NA,0.216450351569802,NA,NA
23,0,23,-1,4,0.613822384853847,NA,0.33296679193154,NA
23,0,23,-1,5,0.822433427092619,NA,0.354255982115865,NA
23,0,23,-1,6,0.648498119902797,NA,0.0607404170557857,NA
23,0,23,-1,7,0.863322567427531,NA,0.312552022002637,NA
23,0,23,-1,8,0.922999836620875,NA,0.0669468170963228,NA
23,0,23,-1,9,0.513439050526358,NA,0.270909567642957,NA
23,0,23,-1,10,0.804581260425039,NA,0.284285867307335,NA
23,0,23,-1,11,0.583827952155843,NA,0.355265590921044,NA
23,0,23,-1,12,0.959079808439128,NA,0.148298541549593,NA
23,0,23,-1,13,0.517794008599594,NA,0.360855085588992,NA
23,0,23,-1,14,0.55109248647932,NA,0.22617960954085,NA
23,0,23,-1,15,0.716434128815308,NA,0.34316713353619,NA
23,0,23,-1,16,NA,NA,NA,0.113652540184557
23,0,23,-1,17,NA,NA,NA,0.204669411387295
23,0,23,-1,18,NA,NA,NA,0.0144489250145853
23,0,23,-1,19,NA,NA,NA,0.359440835751593
24,0,24,-1,1,NA,0.19180746236816,NA,NA
24,0,24,-1,2,NA,0.138818595185876,NA,NA
24,0,24,-1,3,NA,0.105186351761222,NA,NA
24,0,24,-1,4,0.638681342825294,NA,0.300684742815793,NA
24,0,24,-1,5,0.589153862209059,NA,0.305037551838905,NA
24,0,24,-1,6,0.764265423757024,NA,0.139177393913269,NA
24,0,24,-1,7,0.719588882871903,NA,0.15443371180445,NA
24,0,24,-1,8,0.724852467421442,NA,0.0111792930401862,NA
24,0,24,-1,9,0.913498170557432,NA,0.372734085656703,NA
24,0,24,-1,10,0.804673934588209,NA,0.200235811527818,NA
24,0,24,-1,11,0.89276302466169,NA,0.125865821540356,NA
24,0,24,-1,12,0.521281968103722,NA,0.254735262040049,NA
24,0,24,-1,13,0.933818599325605,NA,0.0823856085538864,NA
24,0,24,-1,14,0.936497501563281,NA,0.339748604595661,NA
